compound,DhyG,DhyH,DhyCp,V
methanol,-13.21,-45.13,114,38.15
ethanol,-13,-52.59,199,55.1
1-propanol,-12.38,-57.65,268,70.7
2-propanol,-11.93,-58.5,272,71.8
1-butanol,-11.88,-61.72,335,86.6
2-butanol,-11.38,-62.8,340,86.6
2-methyl-1-propanol,-11.01,-60.2,330,86.5
2-methyl-2-propanol,-10.83,-64.1,353,87.8
1-pentanol,-11.13,-65,402,102.4
2-pentanol,-10.33,,,102.6
3-pentanol,-9.95,-66.8,410,101.2
2-methyl-1-butanol,-10.56,,405,
2-methyl-2-butanol,-10.56,-68.5,,101.3
3-methyl-1-butanol,-10.54,,,
3-methyl-2-butanol,,,,
"2,2-dimethyl-propanol",,,370,102.3
1-hexanol,-10.37,-68.1,460,118.5
2-hexanol,-9.8,,,118.5
3-hexanol,-9.26,-69.6,470,117.1
2-methyl-1-pentanol,-9.49,,,
