compound,dhCp,dhH,dhG,Vh
"1,3-Butadiene",325,,,
"1,3-Butadiene",,-24.7,,
"1,3-Butadiene",,,10.64,
"1,3-Butadiene",,,11.49,
"1,3-Butadiene",,,10.62,
"1,3-Butadiene",,,10.77,
"1,3-Butadiene",,,10.57,
"1,3-Butadiene",,,10.36,
"1,3-Butadiene",,,,68.3
"1,4-Pentadiene",,,11.79,
"1,5-Hexadiene",,,12.32,
"1,6-Heptadiene",,,13.15,
1-Butene,389,,,
1-Butene,,-24.88,,
1-Butene,,,13.4,
1-Butene,,,13.31,
1-Butene,,,13.37,
1-Butene,,,12.69,
1-Butene,,,13.68,
1-Butene,,,13.41,
1-Butene,,,13.39,
1-Butene,,,,62.3
1-Heptene,,,14.92,
1-Heptene,,,14.87,
1-Heptene,,,11.78,
1-Hexene,,,14.71,
1-Hexene,,,15.14,
1-Hexene,,,14.53,
1-Hexene,,,14.08,
1-Hexene,,,15.59,
1-Hexene,,,14.65,
1-Hexene,,,14.89,
1-Hexene,,,14.91,
1-Nonene,,,15.07,
1-Nonene,,,16.61,
1-Octene,,,16.88,
1-Octene,,,15.02,
1-Octene,,,16,
1-Octene,,,11.78,
1-Octene,,,17.03,
1-Pentene,,,14.77,
2-Heptene,,,14.61,
2-Heptene,,,14.24,
2-Heptene,,,14.9,
"2-Methyl-1,3-butadiene",,-28.7,,
"2-Methyl-1,3-butadiene",,,9.4,
"2-Methyl-1,3-butadiene",,,10.81,
"2-Methyl-1,3-butadiene",,,10.73,
"2-Methyl-1,3-butadiene",,,10.7,
"2-Methyl-1,3-butadiene",,,10.98,
"2-Methyl-1,3-butadiene",,,10.97,
"2-Methyl-1,3-butadiene",,,10.71,
"2-Methyl-1,3-butadiene",,,10.38,
2-Methyl-1-pentene,,,14.01,
2-Methyl-1-propene,365,,,
2-Methyl-1-propene,,-24.9,,
2-Methyl-1-propene,,,12.82,
2-Methyl-1-propene,,,12.81,
2-Methyl-1-propene,,,13.25,
2-Methyl-1-propene,,,12.94,
2-Methyl-1-propene,,,13.04,
2-Methyl-1-propene,,,13.26,
2-Methyl-1-propene,,,12.87,
2-Methyl-1-propene,,,13.04,
2-Methyl-2-butene,,-28.5,,
2-Methyl-2-butene,,,12.25,
2-Methyl-2-butene,,,13.03,
2-Methyl-2-butene,,,12.74,
2-Methyl-2-butene,,,12.82,
2-Pentene,,,13.44,
3-Methyl-1-butene,,,15.53,
4-Methyl-1-pentene,,,15.93,
Beta-myrcene,,,6.03,
Beta-myrcene,,,6.2,
Beta-myrcene,,,8.93,
Beta-myrcene,,,10.25,
Beta-pinene,,,7.8,
Beta-pinene,,,9.6,
Beta-pinene,,,10.43,
Beta-pinene,,,6.96,
Beta-pinene,,,10.85,
Camphene,,,7.62,
Camphene,,,10.53,
Limonene,,-39.75,,
Limonene,,-39.95,,
Limonene,,,8.9,
Limonene,,,6.46,
Limonene,,,6.57,
Limonene,,,9.27,
Limonene,,,9.63,
Limonene,,,3.85,
Limonene,,,2.59,
Limonene,,,7.59,
Limonene,,,9.44,
Limonene,,,5.51,
Limonene,,,2.59,
Limonene,,,3.93,
Limonene,,,7.43,
Propene,278,,,
Propene,,-21.64,,
Propene,,,12.92,
Propene,,,13.08,
Propene,,,13.15,
Propene,,,13.26,
Propene,,,12.94,
Propene,,,,56.7
Sabinene,,,10.52,
Sabinene,,,11.33,
Terpinolene,,-45.7,,
Terpinolene,,,6.58,
Terpinolene,,,6.68,
