name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,Z
S2-2,S2-2,S2-2,aq,new_estimate,NA,19.Aug.21,cal,18500,3820,-2.63,-66.8,5.84,-2
S3-2,S3-2,S3-2,aq,new_estimate,NA,19.Aug.21,cal,16900,2650,6.1,-61.1,16.3,-2
S4-2,S4-2,S4-2,aq,new_estimate,NA,19.Aug.21,cal,16000,3590,20.1,-51.8,33.1,-2
S5-2,S5-2,S5-2,aq,new_estimate,NA,19.Aug.21,cal,15700,4090,30.4,-45,45.5,-2
S6-2,S6-2,S6-2,aq,new_estimate,NA,19.Aug.21,cal,16000,5330,41.1,-38,58.3,-2
S7-2,S7-2,S7-2,aq,new_estimate,NA,19.Aug.21,cal,16800,6450,50,-32.1,69,-2
S8-2,S8-2,S8-2,aq,new_estimate,NA,19.Aug.21,cal,17700,8560,61.3,-24.6,82.6,-2
HS2-,HS2-,HS2-,aq,new_estimate,NA,19.Aug.21,cal,4810,-1350,25.8,-4.4,31.5,-1
HS3-,HS3-,HS3-,aq,new_estimate,NA,19.Aug.21,cal,6220,-490,31.5,4.6,36.1,-1
HS4-,HS4-,HS4-,aq,new_estimate,NA,19.Aug.21,cal,6950,730,40.8,19,43.5,-1
HS5-,HS5-,HS5-,aq,new_estimate,NA,19.Aug.21,cal,7470,1010,47.6,29.6,49,-1
HS6-,HS6-,HS6-,aq,new_estimate,NA,19.Aug.21,cal,8480,1860,54.6,40.6,54.6,-1
HS7-,HS7-,HS7-,aq,new_estimate,NA,19.Aug.21,cal,9730,2590,60.5,49.8,59.3,-1
HS8-,HS8-,HS8-,aq,new_estimate,NA,19.Aug.21,cal,10960,3780,68,61.4,65.3,-1
H2S2,H2S2,H2S2,aq,new_estimate,NA,19.Aug.21,cal,-2160,-2740,44.5,24.8,46.5,0
H2S3,H2S3,H2S3,aq,new_estimate,NA,19.Aug.21,cal,340,-1370,48.3,30.8,49.5,0
H2S4,H2S4,H2S4,aq,new_estimate,NA,19.Aug.21,cal,1610,-550,54.4,40.3,54.4,0
H2S5,H2S5,H2S5,aq,new_estimate,NA,19.Aug.21,cal,2540,-540,58.9,47.3,58,0
H2S6,H2S6,H2S6,aq,new_estimate,NA,19.Aug.21,cal,3590,-370,63.6,54.5,61.7,0
H2S7,H2S7,H2S7,aq,new_estimate,NA,19.Aug.21,cal,4980,-90,67.4,60.6,64.8,0
H2S8,H2S8,H2S8,aq,new_estimate,NA,19.Aug.21,cal,6320,450,72.4,68.3,68.8,0
